id,sentenceId,policyId,appId
1,"We will disclose your personal information to third parties in the event that we consider selling any business or assets, in which case we will disclose your personal information to any prospective buyers of such business or assets;",1,Honda | My Honda+ app | Privacy Policy | Car apps | Download Car apps
2,"We will disclose your personal information to third parties if we, or substantially all of our assets, are acquired by a third party, in which case personal information held by us about our customers will be one of the transferred assets;",1,Honda | My Honda+ app | Privacy Policy | Car apps | Download Car apps
3,We will disclose your personal information to third parties in the event we are the subject of any insolvency situation (e.g. the administration or liquidation);,1,Honda | My Honda+ app | Privacy Policy | Car apps | Download Car apps
4,"We will disclose your personal information to third parties in order to enforce or apply our terms and conditions, policies or any contract we have with you or have facilitated between you and a third party;",1,Honda | My Honda+ app | Privacy Policy | Car apps | Download Car apps
5,"We will disclose your personal information to third parties to protect our rights, property, or safety, or that of our people, or others.",1,Honda | My Honda+ app | Privacy Policy | Car apps | Download Car apps
6,"We will disclose your personal information to third parties if we are under a duty to disclose or share your personal information in order to comply with any legal obligation or regulatory requirements, or otherwise for the prevention or detection of fraud or crime.",1,Honda | My Honda+ app | Privacy Policy | Car apps | Download Car apps
7,"Your personal data may be processed for the respective purposes by the recipients and categories of recipients listed below Data processors, Certain third parties, whether affiliated or unaffiliated, may receive your personal data to process such data on behalf of KIA under appropriate instructions as necessary for the respective processing purposes.",1,Kia Connect Legal Documents
8,"Your personal data is stored by us and our service providers, to the extent necessary for the performance of our obligations and for the time necessary to achieve the purposes for which the personal data is collected, in accordance with applicable data protection laws.",1,Kia Connect Legal Documents
9,"Kia may transfer your personal data for the respective purposes to the recipients and categories of recipients listed below Private third parties, Affiliated or unaffiliated private bodies other than us that alone or jointly with others, determine the purposes and means of the processing of personal data.",2,Kia Connect Legal Documents
10,"Kia may transfer your personal data for the respective purposes to the recipients and categories of recipients listed below Data processors, Certain third parties, whether affiliated or unaffiliated, may receive your personal data to process such data on behalf of Kia under appropriate instructions as necessary for the respective processing purposes.",2,Kia Connect Legal Documents
11,"Kia may transfer your personal data for the respective purposes to the recipients and categories of recipients listed below Data processors, Certain third parties, whether affiliated or unaffiliated, may receive your personal data to process such data on behalf of Kia under appropriate instructions as necessary for the respective processing purposes.",1,Kia Connect Legal Documents
12,"Your personal data is stored by Kia and our service providers, strictly to the extent necessary for the performance of our obligations and strictly for the time necessary to achieve the purposes for which the personal data is collected, in accordance with applicable data protection laws.",1,Kia Connect Legal Documents
13,"Section shall be amended as follows your personal data is stored by Kia and our service providers, strictly to the extent necessary for the performance of our obligations and strictly for the time necessary to achieve the purposes for which the personal data is collected, in accordance with applicable data protection laws.",1,Kia Connect Legal Documents
14,"Section shall be replaced as follows your personal data is stored by Kia and our service providers, strictly to the extent necessary for the performance of our obligations and strictly for the time necessary to achieve the purposes for which the personal data is collected, in accordance with applicable data protection laws.",1,Kia Connect Legal Documents
15,"Section 8 shall be replaced as follows Your personal data is stored by Kia and our service providers, strictly to the extent necessary for the performance of our obligations and strictly for the time necessary to achieve the purposes for which the personal data is collected, in accordance with applicable data protection laws.",1,Kia Connect Legal Documents
16,We do not share information that personally identifies you with third parties for their marketing purposes unless you opt-in to that sharing.,1,Privacy Notice | Tesla United Kingdom
17,"When you request Tesla to perform certain services, we share limited information about you and the vehicle with these parties to help provide you with an accurate repair estimate and to facilitate payment.",3,Privacy Notice | Tesla United Kingdom
